motivo,detalhe_do_motivo,acoes_novas_2026
Sem categorização,—,1274
Notificação Jurídico,—,159
Viagem,Problema Mecânico,123
Viagem,Horário em Trânsito,49
Gravação / Histórico de Atendimento,—,38
Viagem,Categoria inferior,35
Viagem,No desembarque,32
Viagem,No embarque,29
Viagem,Extravio de bagagem,22
Atendimento,Negativa de solicitação,17
Viagem,Parada para embarque / desembarque não cumprida,17
Financeiro - Agências,—,16
Viagem,Conduta do atendimento,10
Viagem,Dano de bagagem,8
Viagem,Documentação,8
Viagem,Condições do veículo,8
Viagem,Transferência massiva,8
Notificação Jurídico,Extravio de bagagem,7
Regras de Viagem,—,7
Notificação Jurídico,Problema Mecânico,7
Achados e Perdidos,—,7
Viagem,Ar condicionado,7
Viagem,Redução grade de horários,7
Viagem,Colisão,7
Notificação Jurídico,No embarque,6
Atendimento,Venda incorreta,6
Notificação Jurídico,Atendimento,5
Envio de Bilhete,—,4
Viagem,Dublê de poltrona,4
Site próprio,Estorno pendente,4
Viagem,Categoria inferior pós socorro,4
Regras de Bilhete,—,3
Notificação Jurídico,Condições do veículo,3
Notificação Jurídico,No desembarque,3
Cancelamento de Passagem,—,3
Atendimento,Informação errada,3
Outros,—,3
Apólice do seguro,—,3
Gratuidade,—,3
Viagem,Goteira,3
Atendimento,Atendimento,3
Compra de Passagem,—,3
Viagem,—,3
Viagem,Abandono de passageiro,3
Viagem,Furto,3
Viagem,Insetos (Mosquitos e Baratas),3
Notificação Jurídico,Negativa de solicitação,2
Site/app terceiros,Estorno pendente,2
Empresas terceirizadas,—,2
Viagem,Falta de poltrona,2
Imagens do veículo,—,2
Embarque de terceiros,—,2
Depósito,—,2
Viagem,Saída Antecipada,2
Site próprio,Taxa de serviço,2
Atendimento,Conduta do atendimento,2
Viagem,Banheiro,2
Viagem,Excesso de bagagem,2
Viagem,Falta de Plataforma para embarque,2
Viagem,Poltrona,2
Site/app terceiros,—,2
Viagem,Troca de bagagem,2
Viagem,Tomada USB,1
Notificação Jurídico,Categoria inferior,1
Financeiro - Agências,Estorno pendente,1
Notificação Jurídico,Ar condicionado,1
Notificação Jurídico,Cancelamento,1
Notificação Jurídico,Colisão,1
Notificação Jurídico,Bilhete cancelado,1
 ,—,1
Agências,Venda incorreta,1
Whatsapp,Estorno pendente,1
Cancelamento de Passagem,Cancelamento,1
Contato,—,1
Troca de passagem,—,1
Whatsapp,Taxa de assento,1
Site próprio,Checkout,1
Site próprio,Cobrança com valor maior,1
Site próprio,Cobrança Indevida,1
Remarcação,—,1
Viagem,Cinto de Segurança,1
Viagem,Veículo diferente,1
Viagem,Wifi,1
Viagem,Acidente com passageiro,1
Promoções / Parcerias,—,1
Viagem,Atendimento,1
Site próprio,Resultado de busca,1
Atendimento,Falta de solução,1
Aplicativo próprio,Bilhete não emitido / cancelado,1
Atendimento,Cobrança Indevida,1
Site próprio,—,1
Whatsapp,—,1
Whatsapp,Bilhete não emitido / cancelado,1
