ticketNumber,createdTime,closedTime,status,channel,threadCount,motivo,detalhe,submotivo,localizador,filial,linha,solucao,servico,dataViagem
1036542,2025-11-01T05:24:40.000Z,2025-11-01T05:38:01.000Z,Fechado - Procedente,0800 - Expresso Guanabara,1,Viagem,Problema Mecânico,Veículo,1EDV54,Real Expresso,MG/UBERLANDIA - SP/SAO PAULO 200449,,20403885,2025-10-31T15:00:00.000Z
1037138,2025-11-01T20:59:40.000Z,2025-11-03T18:26:51.000Z,Fechado - Sem Interação,0800 - Expresso Guanabara,8,Viagem,Problema Mecânico,Veículo,1DP1QM,Real Expresso,GO/GOIANIA - PR/CURITIBA 200461,Cortesia,20404105,
1036613,2025-11-01T11:24:15.000Z,2025-11-02T15:46:04.000Z,Fechado - Procedente,0800 - UTIL,3,Viagem,Problema Mecânico,Veículo,1EE8UU,Real Expresso,MT/ALTA FLORESTA - DF/BRASILIA 200438,Sem Oferta,20402930,2025-11-01T10:45:00.000Z
1036590,2025-11-01T10:57:32.000Z,2025-11-12T17:53:11.000Z,Fechado - Procedente,0800 - Expresso Guanabara,9,Viagem,Problema Mecânico,Veículo,1EDZPA,Expresso Guanabara,FORTALEZA(CE) - SOBRAL(CE) - EXPRESSO 100231,Devolução,,2025-10-31T20:00:00.000Z
1036736,2025-11-01T13:34:10.000Z,2025-11-04T19:34:47.000Z,Fechado - Procedente,0800 - Expresso Guanabara,4,Viagem,Problema Mecânico,Veículo,1EBDYN,Expresso Guanabara,SAO LUIS(MA) - TUTOIA(MA) VIA BARREIRINHAS(MA),Cortesia,10205205,2025-11-01T10:30:00.000Z
1037321,2025-11-02T03:44:59.000Z,2025-11-04T18:24:20.000Z,Fechado - Procedente,Fale Conosco,3,Viagem,Problema Mecânico,Veículo,1EENQY,Real Expresso,DF/BRASILIA - GO/GOIANIA 200452,Cortesia,20304115,2025-11-02T00:35:00.000Z
1036995,2025-11-01T18:01:08.000Z,2025-11-04T19:50:49.000Z,Fechado - Procedente,0800 - Expresso Guanabara,4,Viagem,Problema Mecânico,Veículo,1ECWTE,Expresso Guanabara,FORTALEZA(CE) - SOBRAL(CE) - EXPRESSO,Cortesia,10201605,2025-10-31T20:00:00.000Z
1037592,2025-11-02T15:07:03.000Z,2025-11-02T15:48:32.000Z,Fechado - Procedente,0800 - Expresso Guanabara,2,Viagem,Problema Mecânico,Veículo,1D8VER,Real Expresso,DF/BRASILIA - MG/UBERLANDIA 200380,Cortesia,20423240,
1037297,2025-11-02T01:41:31.000Z,2025-11-05T19:43:34.000Z,Fechado - Procedente,Fale Conosco,3,Viagem,Problema Mecânico,Veículo,1DRRFY,Expresso Guanabara,BA/FEIRA DE SANTANA - PE/RECIFE 100685,Sem Oferta,10326225,2025-10-26T15:00:00.000Z
1037192,2025-11-01T22:07:53.000Z,2025-11-04T19:35:25.000Z,Fechado - Procedente,0800 - Expresso Guanabara,5,Viagem,Problema Mecânico,Veículo,1EDVJ9,Expresso Guanabara,FORTALEZA(CE) - SOBRAL(CE) - EXPRESSO,,10411605,2025-10-31T15:00:00.000Z
1037190,2025-11-01T22:05:00.000Z,2025-11-05T12:49:57.000Z,Fechado - Procedente,0800 - Expresso Guanabara,4,Viagem,Problema Mecânico,Veículo,1EBA2S,Expresso Guanabara,FORTALEZA(CE) - SOBRAL(CE) - EXPRESSO,Cortesia,10201690,2025-10-31T16:00:00.000Z
1037194,2025-11-01T22:09:37.000Z,2025-11-04T19:36:43.000Z,Fechado - Procedente,0800 - Expresso Guanabara,2,Viagem,Problema Mecânico,Veículo,1ED4TQ,Expresso Guanabara,FORTALEZA(CE) - SOBRAL(CE) - EXPRESSO,Cortesia,10201605,2025-11-01T20:00:00.000Z
