ticketNumber,createdTime,closedTime,status,channel,threadCount,motivo,detalhe,submotivo,localizador,filial,linha,solucao,servico,dataViagem
362879,2024-12-06T17:11:01.000Z,2024-12-11T12:09:14.000Z,Fechado - Procedente,Agências,4,Viagem,Problemas Mecânico,Veículo,15XRT7,Sampaio,LAVRAS(MG) - RIO DE JANEIRO(RJ) 350014,Devolução e Cortesia,35200060,2024-12-02T00:30:00.000Z
645097,2025-01-15T14:24:43.000Z,2025-01-15T14:24:43.000Z,Fechado - Procedente,Agências,2,Viagem,Problemas Mecânico,Veículo,14VDUB,Util,DF/BRASILIA - RJ/RIO DE JANEIRO,Cortesia,15304345,2024-12-29T19:30:00.000Z
645404,2025-01-15T16:54:05.000Z,2025-01-17T17:20:46.000Z,Duplicado,WhatsApp Chat,2,Viagem,Problemas Mecânico,Veículo,14VDUB,Util,DF/BRASILIA - RJ/RIO DE JANEIRO,,15304345,2024-12-29T15:00:00.000Z
1046481,2025-11-08T14:01:20.000Z,2025-11-11T17:53:48.000Z,Fechado - Procedente,0800 - UTIL,4,Viagem,Problema Mecânico,Veículo,1DZX1N,Sampaio,,Cortesia,35301785,2025-11-08T15:00:00.000Z
1050021,2025-11-11T14:10:55.000Z,2025-11-11T15:41:56.000Z,Fechado - Procedente,Agências,1,Viagem,Problema Mecânico,Veículo,1DC0U8,Sampaio,MG/ALFENAS - RJ/RIO DE JANEIRO,Cortesia,35301610,2025-09-19T16:00:00.000Z
1050024,2025-11-11T14:10:56.000Z,2025-11-11T17:14:51.000Z,Fechado - Procedente,Agências,1,Viagem,Problema Mecânico,Veículo,1DC8Y0,Sampaio,MG/ALFENAS - RJ/RIO DE JANEIRO,Cortesia,35301610,2025-09-19T16:00:00.000Z
1093892,2025-12-10T19:16:03.000Z,2025-12-16T14:09:52.000Z,Fechado - Sem Interação,Agências,4,Viagem,Problema Mecânico,Veículo,1EWUV3,Sampaio,MG/SAO LOURENCO - RJ/RIO DE JANEIRO,Devolução e Cortesia,35201705,2025-11-24T13:30:00.000Z
1093906,2025-12-10T19:16:05.000Z,2025-12-16T14:09:52.000Z,Fechado - Sem Interação,Agências,5,Viagem,Problema Mecânico,Veículo,1D4T4C,Sampaio,MG/SAO LOURENCO - RJ/RIO DE JANEIRO,Devolução e Cortesia,35201705,2025-11-24T13:30:00.000Z
1110917,2025-12-20T17:15:54.000Z,2025-12-24T15:15:38.000Z,Fechado - Sem Interação,Agências,5,Viagem,Problema Mecânico,Veículo,1EN862,Util,RJ/RIO DE JANEIRO - SP/SAO SEBASTIAO,Devolução e Cortesia,15204830,2025-12-05T01:00:00.000Z
1110928,2025-12-20T17:15:56.000Z,2025-12-24T16:15:39.000Z,Fechado - Sem Interação,Agências,2,Viagem,Problema Mecânico,Veículo,1F88JG,Util,RJ/RIO DE JANEIRO - SP/SAO SEBASTIAO,Devolução e Cortesia,15204830,2025-12-05T01:00:00.000Z
1110931,2025-12-20T17:15:56.000Z,2025-12-23T18:30:19.000Z,Fechado - Sem Interação,Agências,1,Viagem,Problema Mecânico,Veículo,1EN862,Util,RJ/RIO DE JANEIRO - SP/SAO SEBASTIAO,Devolução e Cortesia,15204830,2025-12-05T01:00:00.000Z
1110940,2025-12-20T17:15:58.000Z,2025-12-21T19:13:36.000Z,Fechado - Sem Interação,Agências,2,Viagem,Problema Mecânico,Veículo,1EN862,Util,RJ/RIO DE JANEIRO - SP/SAO SEBASTIAO,Devolução e Cortesia,15204830,2025-12-05T01:00:00.000Z
1114708,2025-12-23T13:52:09.000Z,2025-12-26T17:02:18.000Z,Fechado - Procedente,0800 - Expresso Guanabara,4,Viagem,Problema Mecânico,Veículo,1FRERS,Util,,Cortesia,15701065,2025-12-23T15:00:00.000Z
1119601,2025-12-26T16:32:25.000Z,2026-01-21T17:57:40.000Z,Fechado - Procedente,Fale Conosco,12,Viagem,Problema Mecânico,Veículo,1EN862,Util,RJ/RIO DE JANEIRO - SP/SAO SEBASTIAO 150473,,15204830,2025-12-05T01:00:00.000Z
1120667,2025-12-27T02:03:36.000Z,2026-01-02T18:06:04.000Z,Fechado - Procedente,0800 - Expresso Guanabara,2,Viagem,Problema Mecânico,Veículo,1FVB7Y,Util,,,15404355,2025-12-26T15:00:00.000Z
1125439,2025-12-30T12:51:32.000Z,2026-01-09T13:26:21.000Z,Fechado - Sem Interação,Consumidor Gov,11,Viagem,Problema Mecânico,Veículo,1F5ZYE,Util,DF/BRASILIA - RJ/ RIO DE JANEIRO 150457,,15304345,2025-12-02T19:30:00.000Z
1128490,2026-01-01T14:36:06.000Z,2026-01-09T14:52:43.000Z,Fechado - Procedente,Fale Conosco,6,Viagem,Problema Mecânico,Veículo,1G2Q62,Sampaio,,Cortesia,35301835,2025-12-31T02:00:00.000Z
1130734,2026-01-02T19:46:47.000Z,2026-01-02T19:50:48.000Z,Fechado - Improcedente,0800 - Expresso Guanabara,1,Troca de passagem,,Troca de data,1F2216,Util,,,,
1131174,2026-01-03T00:14:50.000Z,2026-01-14T11:30:05.000Z,Fechado - Sem Interação,WhatsApp Chat,6,Viagem,Categoria inferior,Embarque / Desembarque,1G592V,Util,,,15424555,2026-01-03T01:00:00.000Z
1132383,2026-01-04T03:33:51.000Z,2026-01-05T16:44:08.000Z,Fechado - Procedente,0800 - Expresso Guanabara,2,Viagem,Problema Mecânico,Veículo,1G6MWY,Util,,Cortesia,15304525,2026-01-04T00:30:00.000Z
1132842,2026-01-04T16:18:38.000Z,2026-01-10T20:17:57.000Z,Fechado - Procedente,Fale Conosco,7,Viagem,Problema Mecânico,Veículo,1G4EK0,Util,,Cortesia,15205232,2026-01-04T14:10:00.000Z
1132891,2026-01-04T17:20:33.000Z,2026-01-09T22:42:40.000Z,Fechado - Procedente,WhatsApp Chat,4,Viagem,Problema Mecânico,Veículo,1G4EK0,Util,,Cortesia,15205232,2026-01-04T14:10:00.000Z
1141039,2026-01-08T23:32:50.000Z,2026-01-16T13:44:42.000Z,Fechado - Procedente,Fale Conosco,6,Viagem,Problema Mecânico,Veículo,1FAURX,Util,MG/OURO PRETO - RJ/RIO DE JANEIRO 150448,Cortesia,15306112,2025-12-16T10:30:00.000Z
1152160,2026-01-16T09:10:34.000Z,2026-01-16T09:16:48.000Z,Fechado - Procedente,0800 - Expresso Guanabara,1,Previsão de Socorro,,,1GEFVY,Sampaio,,,,
1163161,2026-01-23T13:25:13.000Z,2026-01-24T20:32:57.000Z,Duplicado,0800 - Expresso Guanabara,1,Viagem,Problema Mecânico,Veículo,1GKNCV,Sampaio,,,35301845,2026-01-22T16:00:00.000Z
1163233,2026-01-23T13:50:33.000Z,2026-02-01T17:45:00.000Z,Fechado - Sem Interação,Consumidor Gov,8,Viagem,Problema Mecânico,Veículo,1GKNCV / 1GJWCV,Sampaio,RJ/RIO DE JANEIRO - SP/PRAIA GRANDE 350215,,35301845,2026-01-22T16:00:00.000Z
1174826,2026-01-31T09:39:07.000Z,2026-02-14T13:37:57.000Z,Fechado - Procedente,0800 - Expresso Guanabara,3,Viagem,Problema Mecânico,Veículo,1FER0S,Sampaio,,Cortesia,35301835,2026-01-31T02:00:00.000Z
1175379,2026-01-31T18:12:00.000Z,2026-02-06T13:23:10.000Z,Fechado - Procedente,Fale Conosco,16,Cancelamento de Passagem,,Sites e Aplicativos Terceiros,1FWT9F/1FWT9K,Util,,,,
1185883,2026-02-09T12:40:26.000Z,2026-02-09T12:42:53.000Z,Duplicado,Fale Conosco,1,Cancelamento de Passagem,,Sites e Aplicativos Terceiros,1FWT9F/1FWT9K,Util,,,,
1194538,2026-02-14T18:24:19.000Z,2026-02-20T15:26:39.000Z,Fechado - Procedente,Agências,1,Viagem,Problema Mecânico,Veículo,1GR9KS,Sampaio,RJ/RIO DE JANEIRO - SP/PRAIA GRANDE 350215,Cortesia,35301835,2026-01-31T02:00:00.000Z
1194547,2026-02-14T18:24:20.000Z,2026-02-20T15:26:39.000Z,Fechado - Procedente,Agências,1,Viagem,Problema Mecânico,Veículo,1FER0S,Sampaio,RJ/RIO DE JANEIRO - SP/PRAIA GRANDE 350215,Cortesia,35301835,2026-01-31T02:00:00.000Z
1194557,2026-02-14T18:24:22.000Z,2026-02-20T15:26:39.000Z,Fechado - Procedente,Agências,1,Viagem,Problema Mecânico,Veículo,1GXY2S,Sampaio,RJ/RIO DE JANEIRO - SP/PRAIA GRANDE 350215,Cortesia,35301835,2026-01-31T02:00:00.000Z
1194579,2026-02-14T18:24:25.000Z,2026-02-20T15:26:39.000Z,Fechado - Procedente,Agências,1,Viagem,Problema Mecânico,Veículo,1FER0S,Sampaio,RJ/RIO DE JANEIRO - SP/PRAIA GRANDE 350215,Cortesia,35301835,2026-01-31T02:00:00.000Z
1194580,2026-02-14T18:24:25.000Z,2026-02-20T15:26:39.000Z,Fechado - Procedente,Agências,1,Viagem,Problema Mecânico,Veículo,1GBVDP,Sampaio,RJ/RIO DE JANEIRO - SP/PRAIA GRANDE 350215,Cortesia,35301835,2026-01-31T02:00:00.000Z
1197224,2026-02-17T18:19:07.000Z,2026-02-28T18:44:03.000Z,Fechado - Procedente,WhatsApp Chat,4,Viagem,Categoria inferior,Embarque / Desembarque,1G22H4,Util,,Diferença Tarifária,15205246,2026-02-13T23:00:00.000Z
1197680,2026-02-18T09:11:51.000Z,2026-03-04T14:54:10.000Z,Fechado - Procedente,WhatsApp Chat,12,Viagem,Problema Mecânico,Veículo,1G22H4,Util,,Devolução,15408443,2026-02-17T22:10:00.000Z
1197755,2026-02-18T11:09:17.000Z,2026-03-10T14:18:56.000Z,Fechado - Sem Interação,0800 - Expresso Guanabara,5,Viagem,Problema Mecânico,Veículo,1H4GY6 e 1H4GY7,Util,,Cortesia,15308443,2026-02-18T02:15:00.000Z
1198438,2026-02-18T17:36:27.000Z,2026-02-18T17:41:02.000Z,Fechado - Procedente,0800 - Expresso Guanabara,1,Cortesia Atendida,,,1HD0EU,Util,,,,
1199647,2026-02-19T14:33:43.000Z,2026-03-09T14:21:30.000Z,Duplicado,Fale Conosco,6,Viagem,Problema Mecânico,Veículo,1HD0EU,Brisa,MG/JUIZ DE FORA - RJ/RIO DE JANEIRO,,30300580,2026-02-19T13:00:00.000Z
1199818,2026-02-19T15:45:00.000Z,2026-03-08T18:25:08.000Z,Fechado - Procedente,Fale Conosco,5,Viagem,Problema Mecânico,Veículo,1H8F3M,Brisa,MG/JUIZ DE FORA - RJ/RIO DE JANEIRO,Cortesia,30300580,2026-02-19T13:00:00.000Z
